Team,Matches
4175,2024idbo_qm16,2024idbo_qm25,2024idbo_qm30,2024idbo_qm39,2024idbo_qm4,2024idbo_qm45,2024idbo_qm51,2024idbo_qm59,2024idbo_qm67,2024idbo_qm75,2024idbo_qm9
4598,2024idbo_qm11,2024idbo_qm17,2024idbo_qm22,2024idbo_qm29,2024idbo_qm40,2024idbo_qm46,2024idbo_qm52,2024idbo_qm59,2024idbo_qm6,2024idbo_qm67,2024idbo_qm73
4698,2024idbo_qm14,2024idbo_qm19,2024idbo_qm26,2024idbo_qm34,2024idbo_qm41,2024idbo_qm46,2024idbo_qm54,2024idbo_qm6,2024idbo_qm63,2024idbo_qm68,2024idbo_qm75
5461,2024idbo_qm12,2024idbo_qm19,2024idbo_qm2,2024idbo_qm25,2024idbo_qm36,2024idbo_qm41,2024idbo_qm49,2024idbo_qm58,2024idbo_qm64,2024idbo_qm69,2024idbo_qm76
5480,2024idbo_qm14,2024idbo_qm19,2024idbo_qm24,2024idbo_qm33,2024idbo_qm39,2024idbo_qm48,2024idbo_qm5,2024idbo_qm53,2024idbo_qm60,2024idbo_qm65,2024idbo_qm73
5871,2024idbo_qm12,2024idbo_qm22,2024idbo_qm28,2024idbo_qm34,2024idbo_qm42,2024idbo_qm49,2024idbo_qm56,2024idbo_qm65,2024idbo_qm7,2024idbo_qm70,2024idbo_qm78
5933,2024idbo_qm16,2024idbo_qm23,2024idbo_qm35,2024idbo_qm4,2024idbo_qm41,2024idbo_qm46,2024idbo_qm51,2024idbo_qm58,2024idbo_qm66,2024idbo_qm73,2024idbo_qm9
6036,2024idbo_qm13,2024idbo_qm20,2024idbo_qm25,2024idbo_qm33,2024idbo_qm43,2024idbo_qm50,2024idbo_qm56,2024idbo_qm63,2024idbo_qm7,2024idbo_qm71,2024idbo_qm77
6358,2024idbo_qm14,2024idbo_qm19,2024idbo_qm24,2024idbo_qm30,2024idbo_qm38,2024idbo_qm4,2024idbo_qm44,2024idbo_qm52,2024idbo_qm58,2024idbo_qm70,2024idbo_qm77
6364,2024idbo_qm13,2024idbo_qm21,2024idbo_qm29,2024idbo_qm36,2024idbo_qm42,2024idbo_qm47,2024idbo_qm5,2024idbo_qm52,2024idbo_qm58,2024idbo_qm66,2024idbo_qm75
